MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:13-03,UFES,SAMES,1684,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,,,,,,"Pinto Junior, H.V.; Covre, C.",254,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores verdes com máculas vermelhas; sol; abundante.,SAMES01684,,auto
2021-03-24 17:09:13-03,UFES,SAMES,1697,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,,,,,,"Pinto Junior, H.V.; Luber, J.",224,,2016,03,16,,,Brasil,Espírito Santo,Águia Branca,Santa Luzia. Antiga propriedade do Sr. Ciro Ferreira; afloramento próximo a cachoeira do Arco-íris.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores verdes com máculas; sol pleno; abundante.,SAMES01697,,auto
2021-03-24 17:09:13-03,UFES,SAMES,8238,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",416,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, flores verde claro, com máculas, sol, habitando ilha de vegetação inselberg.",SAMES08238,,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,135472,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Rossini, J",2014,09,25,,"Simões, AO; Singer, RB",1275,,2002,03,26,,,Brazil,Minas Gerais,Padre Paraíso,"afloramento a 10km da cidade, próximo à BR-116",-41.501944,-17.145278,-41.501944,-17.145278,,,,,,,,,,,,,"arbusto, flores esverdeadas.",UEC125461,UEC125461,
2021-05-17 15:57:05-03,UNICAMP,UEC,29468,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Chautems, A",1997,01,,,"Sazima, M",14057,,1982,07,26,,,Brazil,Espírito Santo,Vitória,Campus da UFES,-40.3377990722656,-20.3194007873535,0,0,15291,,,,,,,,,,,,"flor, Herbácea com tubérculo. Flores abrem ao anoitecer (18:30h), exalam odor ligeiramente desagradável. Cor esverdeada, lábio superior com pintas de cor marrom. Em beira de mata, sobre pedras.",UEC141404,UEC141404,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,205098,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Araújo, AO",2003,08,25,,"Semir, J",10917,,1980,01,29,,,Brazil,Minas Gerais,Pedra Azul,"BR-116, km 38, Município próximo à divisa com a Bahia, limite do minicípio Pedra Azul e André Fernandes.",-41.2971992492676,-16.0053005218506,0,0,39993,,,,,,,,,,,,"flor, Subarbusto até 1 m de latura, flores esverdeadas com manchas marrons. Planta viscosa, crescendo em pedras.",UEC141403,UEC141403,auto
2021-06-30 13:15:57-03,MBM,MBM,392911,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,,,,,,"Fontana, A.P.; Forzza, R.C.; Fraga, C.N.; Kollmann, L.; Labiak, P.H.; Forzza, R.C.; Fraga, C.N.; Kollmann, L.; Labiak, P.H.",4804,,2008,02,12,,Southern America,Brazil,Espírito Santo,Castelo,"Parque Estadual do Forno Grande, Trilha para as piscinas",-41.083611,-20.516111,-41.083611,-20.516111,,,1100,1400,,,,,,,,,Rupestre no sol. Flores verdes com máculas vináceas.; Floresta Ombrófila Densa Altomontana com inselbergues.,MBM392911,MBM392911,
2021-06-30 13:15:57-03,MBM,MBM,392912,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,,,,,,"Fraga, C.N.; Fontana, A.P.; Kollmann, L.; Fontana, A.P.; Kollmann, L.",1910,,2008,02,19,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, Pedra do Elefante",-40.457778,-18.766944,-40.457778,-18.766944,,,6,400,,,,,,,,,"Herbáceaca. 0,5m alt. Caule avermelhado. Flores verdes com máculas castanhas.; Inselbergue.",MBM392912,MBM392912,
2021-06-30 13:15:57-03,MBM,MBM,79475,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Hatschbach, G.; Guimarães, O.; Guimarães, O.",45074,,,,,,Southern America,Brazil,Bahia,Iaçu,Rod. BA-046,-40.2117004394531,-12.7672004699707,0,0,50006,,,,,,,,,,,,,MBM079475,MBM079475,auto
2021-06-30 13:15:57-03,MBM,MBM,243835,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Jardim, J.G.; et al.; et al.",1839,,,,,,Southern America,Brazil,Bahia,Itacaré,Fazenda Bom Jesus,-38.9967002868652,-14.2775001525879,0,0,41230,,,,,,,,,,,,,MBM243835,MBM243835,auto
2021-06-30 13:15:57-03,MBM,MBM,91655,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,,,,,,"Carvalho, A.M. de",911,,,,,,Southern America,Brazil,Bahia,Itamaraju,5km NW de Itamaraju,-39.5311012268066,-17.0391998291016,0,0,55932,,,,,,,,,,,,,MBM091655,MBM091655,auto
2021-06-30 13:15:57-03,MBM,MBM,243836,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Carvalho, A.M. de",140,,,,,,Southern America,Brazil,Bahia,Maracás,Rod. BA-026,-40.4308013916016,-13.4411001205444,0,0,50558,,,,,,,,,,,,,MBM243836,MBM243836,auto
2021-06-30 13:15:57-03,MBM,MBM,24653,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Leeuwenberg, A.J.M.",,,,,"Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.",31385,,,,,,Southern America,Brazil,Espírito Santo,Domingos Martins,São Miguel,-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,"Ereta, dos paredões rochosos, encosta de morro. Flor verde, interior com salpicos vinosos",MBM024653,MBM024653,auto
2021-06-30 13:15:57-03,MBM,MBM,167738,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.",58011,,,,,,Southern America,Brazil,Espírito Santo,João Neiva,"Rod. BR-101, 5km S de João Neiva",-40.3856010437012,-19.7574996948242,0,0,16286,,,,,,,,,,,,,MBM167738,MBM167738,auto
2021-06-30 13:15:57-03,MBM,MBM,162104,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Skog, L.E.",,,,,"Arbo, M.M.; et al.; et al.",5588,,,,,,Southern America,Brazil,Espírito Santo,Pancas,"Sítio Sturr, Feixe de Pedras",-40.8513984680176,-19.2250003814697,0,0,32475,,,,,,,,,,,,,MBM162104,MBM162104,auto
2021-06-30 13:15:57-03,MBM,MBM,90021,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Skog, L.E.",,,,,"Hatschbach, G.",47816,,,,,,Southern America,Brazil,Minas Gerais,Carlos Chagas,"Rod. BR-418, km 112",-40.7663993835449,-17.7031002044678,0,0,46387,,,,,,,,,,,,,MBM090021,MBM090021,auto
2021-06-30 13:15:57-03,MBM,MBM,112895,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Hatschbach, G.; Silva, J.M.; Silva, J.M.",50002,,,,,,Southern America,Brazil,Minas Gerais,Medina,"Rod. BR-116, 10km de Medina",-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,,MBM112895,MBM112895,auto
2021-06-30 13:15:57-03,MBM,MBM,172823,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.",61862,,,,,,Southern America,Brazil,Minas Gerais,Monte Azul,Serra do Espinhaço,-42.874698638916,-15.1549997329712,0,0,41110,,,,,,,,,,,,,MBM172823,MBM172823,auto
2021-06-30 13:15:57-03,MBM,MBM,295623,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wiehler & Chautems,"Chautems, A.",,,,,"Lombardi, J.A.; et al.; et al.",5989,,2004,03,09,,Southern America,Brazil,Minas Gerais,Santa Maria do Salto,Fazenda Duas Barras,-40.1493988037109,-16.2488994598389,0,0,24863,,,,,,,,,,,,,MBM295623,MBM295623,auto
2021-02-11 17:19:09-03,UFPR,UPCB,89584,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schimidt) Wiehler & Chautems,"Hinoshita, L.K.R",2017,03,24,,"Fraga, C.N. et al.",1957,,2008,05,02,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande. Trilha para as piscinas. Floresta Ombrófila Densa Altomontana com inselbergues,-41.083611,-20.516111,-41.083611,-20.516111,,,1100,1400,,,,,,,,,"Rupícola, folhas discolores, face abaxial verde claro, face adaxial verde escuro brilhosa. Flores com sépalas verdes de ápice vinoso, pétalas verde com máculas vinosas.",UPCB0029088,UPCB0029088,
2019-11-01 15:01:24-03,UnB,UB,148222,PreservedSpecimen,Plantae,Dicotyledoneae,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel ex Schmidt) Wiehler.,Incógnito,,,,,"França, F",1726,,1996,07,20,,Southern America,Brasil,Bahia,Itatim,Morro das Tocas.,-39.6981010437012,-12.7118997573853,0,0,24374,,,,,,,,,,,,"Subarbusto entre Bromélias,Planta pegajosa,folhas discolores,flores verde-claras,com pontuações vinosas,antenas amarelas.; Encosta rochosa,vegetação principalmente arbustiva,entre e sobre rochas.",,,auto
2019-11-01 15:01:24-03,UnB,UB,148220,PreservedSpecimen,Plantae,Dicotyledoneae,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel ex Schmidt) Wiehler.,Incógnito,,,,,"Leite, KRB",42,,2000,04,14,,Southern America,Brasil,Bahia,Itatim,Morro do Agenor.,-39.6981010437012,-12.7118997573853,0,0,24374,,,,,,,,,,,,"Subarbusto ca 80cm,folha membranácea,levemente discolor,face abaxial com nervuras levemente vináceas,flor com cálice verde e corola amarela,tendo na margem dos lacínios manchas vináceas.Antenas ,filetes e estiletes amarelo claro.; Campo rupestre.",,,auto
2019-11-01 15:01:24-03,UnB,UB,148221,PreservedSpecimen,Plantae,Dicotyledoneae,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel ex Schmidt) Wiehler.,Incógnito,,,,,"França, F",2179,,1997,03,16,,Southern America,Brasil,Bahia,Milagres,Morro Pé de Serra.,-39.8588981628418,-12.8699998855591,0,0,24432,,,,,,,,,,,,"Orla do Canal de drenagem.; Arbusto ca.1,20cm.Folha membranácea,dicolor,flores com corola amarelo-esverdeada,com pontuações vinosas.Planta viscosa.; Encosta rocha exposta.",,,auto
2021-06-13 16:41:00-03,NY,NYBG,442056,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,L. A. Mattos Silva,686,,1979,10,31,,South America,Brazil,Bahia,Itamarajú,"Fazenda Pau-brasil, ca. 5 km a NW de Itamaraju",-39.55,-17.02,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380719' target='other'> <mi>dwc_moreinfo</mi></a>,NY00442056,NY00442056_01,
2017-02-09 10:23:00-02,NY,NYBG,01198599,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,,A. Chautems,,,,,J. L. Paixão,435,,2005,06,05,,South America,Brazil,Bahia,Camacan,"Camacã: RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.",-39.5653,-15.3917,,,,,850,850,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310161' target='other'> <mi>dwc_moreinfo</mi></a>,NY01198599,NY01198599_01,
2021-06-13 16:41:00-03,NY,NYBG,02103650,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,A. M. Amorim,6926,,2007,02,11,,South America,Brazil,Bahia,Itamarajú,Serra de Itamaraju. Morro Pescoço. Aproximadamente 15 km da entrada de cidade,-39.6031,-16.9906,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259501' target='other'> <mi>dwc_moreinfo</mi></a>,NY02103650,NY02103650_01,
2021-06-13 16:41:00-03,NY,NYBG,442053,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,S. A. Mori,11707,,1979,04,06,,South America,Brazil,Bahia,Camacan,"Ramal para a Torre da Embratel na Serra Boa, ao N de Sao Joao da Panelinha",-39.4993633,-15.3049346,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380715' target='other'> <mi>dwc_moreinfo</mi></a>,NY00442053,NY00442053_01,
2021-06-13 16:41:00-03,NY,NYBG,442054,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,S. A. Mori,10688,,1978,09,19,,South America,Brazil,Bahia,Itamarajú,"Fazenda Pau-brasil, ca. 5 km a NW de Itamaraju. Folha SE-24 (17-40d)",-39.55,-17.0166,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380716' target='other'> <mi>dwc_moreinfo</mi></a>,NY00442054,NY00442054_01,
2021-06-13 16:41:00-03,NY,NYBG,442055,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,S. A. Mori,9946,,1978,04,26,,South America,Brazil,Bahia,Maracás,"Rod. BA 026, a 6 km a SW de Maracás. Folha SE-24 (14-40a)",-40.4306,-13.4411,,,,,900,900,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380718' target='other'> <mi>dwc_moreinfo</mi></a>,NY00442055,NY00442055_01,
2021-06-13 16:41:00-03,NY,NYBG,684645,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,L. A. Mattos Silva,260,,1979,02,14,,South America,Brazil,Bahia,Maracás,"Rod. Maracás/Contendas do Sincorá (BA 026), km 6. Folha SD 24 (14-40a).",-40.4306,-13.4411,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897273' target='other'> <mi>dwc_moreinfo</mi></a>,NY00684645,NY00684645_01,
2021-06-13 16:41:00-03,NY,NYBG,929947,PreservedSpecimen,Plantae,Magnoliophyta,,Lamiales,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,,,,,G. G. Hatschbach,61862,,1995,03,14,,South America,Brazil,Minas Gerais,Monte Azul,Serra do Espinhaço,-42.8744,-15.155,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999462' target='other'> <mi>dwc_moreinfo</mi></a>,NY00929947,NY00929947_01,
2021-07-02 09:32:38-03,UFRJ,RFA,12205,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,L.K.R. Hinoohitz,2016,04,05,,A.P. Duarte,10603,,1968,01,12,,,Brasil,Minas Gerais,Itaobim,BR4.,-41.5032997131348,-16.5617008209229,,,19493,,,,,,,,,,,,,RFA40835,,auto
2021-06-25 18:20:10-03,UFV,VIC,52673,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wihler & Chautms,"Junior, H.V.P.",2019,03,25,,"Junior, H.V.P.",442,,2019,02,18,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra de Pontões,-41.3664016723633,-21.0641994476318,0,0,29430,,,,,,,,,,,,"Cerca de 50cm, folhas verdes aveludadas, flores verdes com pontuações maculadas.",VIC052673,VIC052673,auto
2021-06-25 18:20:10-03,UFV,VIC,32257,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & Schmidt) Wihler & Chautms,"Rossini, J.",2009,02,,,"Rossini, J.; Rossini, L.C.",692,,2009,02,18,,,Brasil,Espírito Santo,Santa Teresa,"Estação Biológica de Santa Lúcia, Trilha do tapinoã.",-40.6002998352051,-19.9356002807617,0,0,23813,,,,,,,,,,,,"Erva rupicola 1 m, folhas discolores, flores verdes com máculas marrons, frutos verdes, heliófila.",VIC032257,,auto
2020-12-22 16:05:55-03,UFES,VIES,24230,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,2020,05,02,,"Silva, H.L. da; Cardoso, W.C.; Freitas, V.C.",18,,2017,12,22,,,Brasil,Espírito Santo,Vitória,Morro da Gamela.,-40.301667,-20.298333,40º18'6''W,20º17'54''S,,,,,,,,,,,,,,VIES024230,VIES024230,
2020-12-22 16:05:55-03,UFES,VIES,28575,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,L.F.A. de Paula,2016,05,,,"Forzza, R.C.; L.F.A. de Paula, L.O. Azevedo",8750,,2016,03,11,,,Brasil,Espírito Santo,Pancas,Pedra da Colina.,-40.876667,-19.231111,40º52'36''W,19º13'52''S,,,745,745,,,,,,,,,,VIES028575,VIES028575,
2020-12-22 16:05:55-03,UFES,VIES,39369,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Wandekoken, D.T.",2016,10,10,,"Wandekoken, D.T.; Lourenço-Junior, J. & Pereira, O.J.",61,,2014,06,15,,,Brasil,Espírito Santo,Vitória,Caixa d#?#água da UFES.,-40.3075,-20.278611,40º18'27''W,20º16'43''S,,,,,,,,,,,,,,VIES039369,VIES039369,
2021-06-21 11:36:30-03,UFES,VIES,50002,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,,,,,,"Arantes, F.M.",83,,2020,12,22,,,Brasil,Espírito Santo,Pancas,Pedra da Boca. MONA Pontões Capixabas,-40.786389,-19.223611,40º47'11''W,19º13'25''S,,,354,354,,,,,,,,,,VIES050002,,
2020-12-22 16:05:55-03,UFES,VIES,17349,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,A. Chautems,2018,03,28,,"Gomes, J.M.L.",3178,,2008,11,24,,,Brasil,Espírito Santo,Aracruz,Parque Natural Municipal do Aricanga.,-40.2733001708984,-19.8202991485596,,,37987,,,,,,,,,,,,,VIES017349,VIES017349,auto
2020-12-22 16:05:55-03,UFES,VIES,21533,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Couto, D.R.",2011,01,17,,"Couto, D.R.; Favoreto, F.C.",1803,,2011,01,17,,,Brasil,Espírito Santo,Cachoeiro de Itapemirim,Burarama.,-41.1128005981445,-20.8488998413086,,,35694,,,,,,,,,,,,,VIES021533,VIES021533,auto
2021-06-10 16:18:05-03,UFES,VIES,3023,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Rossini, J.",2010,11,15,,"Milanezi, M.A.",,,1988,07,05,,,Brasil,Espírito Santo,Guarapari,,-40.5110015869141,-20.6580009460449,,,28401,,,,,,,,,,,,,VIES003023,VIES003023,auto
2020-12-22 16:05:55-03,UFES,VIES,20669,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Couto, D.R.",2010,04,,,"Couto, D.R.",1578,,,,,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição de Muqui.,-41.3664016723633,-21.0641994476318,,,29430,,850,850,,,,,,,,,,VIES020669,VIES020669,auto
2020-12-22 16:05:55-03,UFES,VIES,38856,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Souza, W.O.",290,,2015,06,18,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elafante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038856,VIES038856,auto
2020-12-22 16:05:55-03,UFES,VIES,38942,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A.",585,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038942,VIES038942,auto
2020-12-22 16:05:55-03,UFES,VIES,38943,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A.",587,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038943,VIES038943,auto
2020-12-22 16:05:55-03,UFES,VIES,40978,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Luber, J.",2015,05,25,,"Luber, J.; Silva, L.A.; Freitas, J.; Pena, N.T.L.; Souza, W.O. & Sossai, B.G.",43,,2015,03,25,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040978,VIES040978,auto
2020-12-22 16:05:55-03,UFES,VIES,40979,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Luber, J.",2015,05,25,,"Luber, J.; Silva, L.A.; Freitas, J.; Pena, N.T.L.; Souza, W.O. & Sossai, B.G.",44,,2015,03,25,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040979,VIES040979,auto
2020-12-22 16:05:55-03,UFES,VIES,41168,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,,,,,,"Alves-Araújo, A.; Pena, N.T.L",1833,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041168,VIES041168,auto
2020-12-22 16:05:55-03,UFES,VIES,41239,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Pena, N.T.L.",2016,10,10,,"Pena, N.T.L.; Alves-Araújo, A.",586,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041239,VIES041239,auto
2020-12-22 16:05:55-03,UFES,VIES,5731,S,Plantae,,,,Gesneriaceae,Sinningia,brasiliensis,,Sinningia brasiliensis,(Regel & E.Schmidt) Wiehler & Chautems,"Rossini, J.",2010,11,15,,"Pereira, O.J.; Boudet, H.H.Q.",2327,,1991,07,13,,,Brasil,Espírito Santo,Pancas,,-40.8513984680176,-19.2250003814697,,,32475,,,,,,,,,,,,,VIES005731,VIES005731,auto
