MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:19-03,UFES,SAMES,1687,PreservedSpecimen,Plantae,,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",251,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Árvore de 1,5 metros; folhas verdes; inflorescência marrom; flores com pétalas brancas e sépalas marrom; abundante; trilha principal.",SAMES01687,,auto
2021-03-24 17:09:19-03,UFES,SAMES,8209,PreservedSpecimen,Plantae,,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",387,,2018,03,21,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, sombra abundante, coletado na trilha para pedra do elefante.",SAMES08209,,auto
2020-04-22 16:21:24-03,UFPB,JPB,41977,PreservedSpecimen,Plantae,Angiosperma,,Dicotyledon,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A. Juss.,"Lima, RB",2009,,,,"Medeiros, MM; Paulo; Rangel, AL",16,,2003,,,,Southern America,Brasil,Paraíba,Maturéia,"Pico do Jabre, Parcela 1",-37.382778,-7.251667,-37.382778,-7.251667,,,1085,1197,,,,,,,,,"; HABITAT: Mata Atlântica. Floresta Estacional Semidecidual Montana.; DESC: Substrato argiloso. Árvore, cerca 13 m de altura.",,,
2021-06-30 13:18:29-03,MBM,MBM,392764,S,Plantae,,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A. Juss.,"Almeida, R.F.",2012,11,,,"Fontana, A.P.; Kollmann, L.; Labiak, P.; Schwartsburd, P.B.; Kollmann, L.; Labiak, P.; Schwartsburd, P.B.",5769,,2009,01,14,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, morro ao lado direito na estrada para a pedra do Elefante",-40.4475,-18.77,-40.4475,-18.77,,,300,600,,,,,,,,,"Arbusto, ca. 2m. Inflorescência ferrugínea. Botões com glândulas brancas.; Inselbergue, afloramento rochoso.",MBM392764,MBM392764,
2021-06-13 16:41:00-03,NY,NYBG,475421,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,W. R. Anderson,,,,,S. A. Mori,10041,,1978,04,27,,South America,Brazil,Bahia,Maracás,"13 a 22 km ao S de Maracás, pela antiga rod. para Jequié. Folha SD-24 (14-40a)",-40.4306,-13.4411,,,,,900,900,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477527' target='other'> <mi>dwc_moreinfo</mi></a>,NY00475421,NY00475421_01,
2021-06-13 16:41:00-03,NY,NYBG,475420,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,S. F. Smith,,,,,R. A. Wasum,8102,,1992,01,25,,South America,Brazil,Sergipe,Areia Branca,Serra de Itabaiana,-37.3153,-10.7581,,,,,650,650,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477528' target='other'> <mi>dwc_moreinfo</mi></a>,NY00475420,NY00475420_01,
2021-03-21 19:36:35-03,UFC,EAC,7464,PreservedSpecimen,Plantae,Dicotyledon,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A. Juss.,"Anderson, W.R.",1986,03,07,,"Martins, P.; Nunes, E.",s.n.,,1979,11,17,,Southern America,Brasil,Maranhão,São Raimundo das Mangabeiras,entre S. Rdo das Mangabeiras e ta. Teresa,-45.4810981750488,-7.02194023132324,0,0,63658,,,,,,,,,,,,"Arbusto, flor branca.; Cerrado",EAC0007464,EAC0007464,auto
2021-03-21 19:36:35-03,UFC,EAC,9116,PreservedSpecimen,Plantae,Dicotyledon,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A. Juss.,"Fernandes, A.; Nunes, E.",1986,03,26,,"Fernandes, A.; Del'Arco, M.R.; Castro, A.J.",EAC9116,,1980,12,11,,Southern America,Brasil,Piauí,Ribeiro Gonçalves,Estação Ecológica de Uruiçuí-Una.,-45.2421989440918,-7.55833005905151,0,0,121004,,,,,,,,,,,,"Subarbusto, flor brancascenta.; Cerrado",EAC0009116,EAC0009116,auto
2021-03-15 18:28:20-03,USP,SPF,122100,PreservedSpecimen,Plantae,,,,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,"Mamede, MCH",1998,,,,"Franciosi, ERN",17,,1996,12,16,,,Brasil,São Paulo,Cunha,"Parque Estadual da Serra do Mar, Flores Ombrófila Densa Montana. Pastagem com arbustos e árvores isoladas.",-44.993333,-23.245833,-44.993333,-23.245833,,,,,,,,,,,,,Arbusto 3.0 m alt.,SPF00122100,SPF00122100,
2021-05-18 11:14:18-03,UEFS,HUEFS,114957,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,D.Cardoso,2008,05,,,"Cardoso, D.",1477,,2006,12,12,,,Brasil,Bahia,Anguera,Morro da Fazenda Retiro.,-39.183333,-12.15,39W11',12S9',,,500,500,,,,,,,,,Fragmento de floresta estacional com afloramentos de quartzito.,HUEFS0114957,HUEFS0114957,
2021-05-18 11:14:18-03,UEFS,HUEFS,24132,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,F.França & M.O.S.Rodrigues,1999,09,,,"Guedes, M.L.S.",PCD2880,,1996,04,06,,,Brasil,Bahia,Jacobina,,-40.5,-11.15,40W30',11S9',,,700,700,,,,,,,,,,HUEFS0024132,HUEFS0024132,
2021-05-18 11:14:18-03,UEFS,HUEFS,24874,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,A.Amorim,1999,01,,,"Melo, E.",1440,,1996,02,24,,,Brasil,Bahia,Itatim,Morro das Tocas.,-39.766667,-12.7,39W46',12S42',,,280,410,,,,,,,,,,HUEFS0024874,HUEFS0024874,
2021-05-18 11:14:18-03,UEFS,HUEFS,26629,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,A.Amorim,1999,01,,,"França, F.",2173,,1997,03,16,,,Brasil,Bahia,Milagres,Morro Pé de Serra.,-39.825833,-12.869167,39W49'33'',12S52'9'',,,378,378,,,,,,,,,Mata da base.,HUEFS0026629,HUEFS0026629,
2021-05-18 11:14:18-03,UEFS,HUEFS,59675,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,P.D.Carvalho,2003,09,,,"Souza, E.R.de",217,,2002,04,23,,,Brasil,Bahia,Maracás,"Vincincinal para fazendas, saída pelo Cruzeiro, entrada 1,5 km da cidade, 1,4 km N da entrada.",-40.413889,-13.41,40W24'50'',13S24'36'',,,1046,1046,,,,,,,,,Campo rupestre.,HUEFS0059675,HUEFS0059675,
2021-05-18 11:14:18-03,UEFS,HUEFS,62856,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,A.Francener,2015,05,,,"Jardim, J.G.",2908,,2000,02,25,,,Brasil,Bahia,Brejões,Rod. Amargosa/Brejões ca. 28km. Margem da rodovia.,-39.780278,-13.063056,39W46'49'',13S3'47'',,,700,700,,,,,,,,,Caatinga Arbórea.,HUEFS0062856,HUEFS0062856,
2021-05-18 11:14:18-03,UEFS,HUEFS,112179,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Malpighiaceae,Byrsonima,nitidifolia,,Byrsonima nitidifolia,A.Juss.,A.Francener,2013,12,,,"Giulietti, A.M.",1166,,1998,06,24,,,Brasil,Pernambuco,Pesqueira,Serra do Orurubá,-36.6963996887207,-8.35778045654297,,,36615,,,,,,,,,,,,Floresta de altitude.,HUEFS0112179,HUEFS0112179,auto
