MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-15 11:06:59-03,UFPI-MRV,HDELTA,6614,PreservedSpecimen,Plantae,,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Araújo, L. S.; Lemos, J. R.",2020,11,25,,"Araújo, L. S.; Lemos, J. R.",374,,2019,05,05,,,Brasil,Piauí,Murici dos Portelas,Povoado Caiçara,-42.0938987731934,-3.31889009475708,"41º58,00'33,10W","3º18,00'10,20S",25662,,,,,,,,,,,,,HDELTA006614,,auto
2021-03-24 17:08:56-03,UFES,SAMES,1676,PreservedSpecimen,Plantae,,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",259,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva de 20 cm habitando ilha de vegetação em afloramento rochoso; folhas verdes diminutas; flores roxas; anteras branco-amareladas.,SAMES01676,,auto
2021-05-17 15:50:18-03,UNICAMP,UEC,136424,S,Plantae,Magnoliopsida,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Silva, CV",2012,03,13,,"Prado, AL",1767,,1992,09,30,,,Brazil,Mato Grosso,Poconé,Fazenda Ronco do Bugiu. Área 2.,-56.6227989196777,-16.2567005157471,0,0,200792,,,,,,,,,,,,Erva ereta; flor alva.; Seco.,UEC019091,UEC019091,auto
2019-11-21 15:54:05-03,JBB,HEPH,7560,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Falcão, J",1975,09,11,,"Duarte, AP",10343,,1967,02,05,,Southern America,Brasil,Goiás,Alto Paraíso de Goiás,Rio dos Macacos,-47.5099983215332,-14.1324996948242,0,0,44724,,,,,,,,,,,,,,,auto
2020-10-01 14:25:07-03,JBB,HEPH,13229,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Pastore, JFB",2013,10,01,,"Oliveira, RC; et al.",830,,1997,08,06,,Southern America,Brasil,Goiás,Colinas do Sul,"Canteiro de obras da A.H.E. Serra da Mesa a aproximadamente de 2,5km de Colinas",-48.0783004760742,-14.1513996124268,0,0,58154,,,,,,,,,,,,,,,auto
2020-10-01 14:25:07-03,JBB,HEPH,9192,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Silva, CV",2007,01,09,,"Vieira, RF; et al.",1197,,1991,11,22,,Southern America,Brasil,Goiás,Monte Alegre de Goiás,Estrada para a fazenda do Sr. Osmar (Calunga).,-46.9006004333496,-13.2564001083374,0,0,53634,,,,,,,,,,,,,,,auto
2020-10-01 14:25:07-03,JBB,HEPH,35054,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Moreira, ALC",2019,10,,,"Rosa, PO; Faria, JEQ; Miranda, LA; Cardoso, PPM; Barradas, FC",2316,,2019,06,12,,Southern America,Brasil,Goiás,Alto Paraíso de Goiás,"Fazenda Oréades, Região da Chapada dos Veadeiros. Em direção ao Sítio Arqueológico Pedra Escrita",-47.904722,-14.225556,-47.904722,-14.225556,,,631,631,,,,,,,,,,,,
2020-10-01 14:25:07-03,JBB,HEPH,35841,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Moreira, ALC",2019,10,,,"Faria, JEQ; Rosa, PO; Miranda, LA; Cardoso, PPM; Barradas, FC",9229,,2019,06,12,,Southern America,Brasil,Goiás,Alto Paraíso de Goiás,"Região da Chapada dos Veadeiros, cerca de 13 km sentido São Jorge para Colinas do Sul, Fazenda Oréades, próximo à sede",-47.899722,-14.226389,-47.899722,-14.226389,,,660,660,,,,,,,,,,,,
2020-10-01 14:25:07-03,JBB,HEPH,29569,S,Plantae,Dicotyledon,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Oliveira, MS",2013,10,09,,"Soares, ACA; Sampaio, RC; Oliveira, MS; Freire, E",48,,2013,10,09,,Southern America,Brasil,Tocantins,Arraias,"Fazênda Santo Antônio, 56 km de Arraias",-47.31,-12.654444,-47.31,-12.654444,,,393,393,,,,,,,,,,,,
2021-05-13 10:48:04-03,Cenargen,CEN,15434,PreservedSpecimen,Plantae,,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,R. Simão-Bianchini & C. V. Silva,2006,07,,,Bruno Machado Teles Walter,713,,1991,11,19,,,Brasil,GO,MINACU,"Dentro do canteiro de obras da usina, cerca de 1 km da entrada norte. Estrada de terra à esquerda que direciona-se à áreas de empréstimo da hidrelétrica. Eixo principal em direção da aldeia Ava Canoeiros.",-48.28333,-13.81667,-48.28333,-13.81667,,,490,490,,,,Exsicatas,5,,,,Anteras brancas. Área de influencia direta.,CEN00015434,CEN00015434,
2021-05-13 10:48:04-03,Cenargen,CEN,103687,PreservedSpecimen,Plantae,,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,A. L. Moreira,2017,10,,,Natália Rodrigues Bijos,390,,2017,07,01,,,Brasil,TO,TAIPAS DO TOCANTINS,Conglomerado: TO-607. Coleta extra,-46.98,-12.24,-46.98,-12.24,,,,,,,,Exsicatas,3,,,,Projeto Inventário Florestal Nacional (IFN). Herbácea com 40 cm de altura.,CEN00103687,CEN00103687,
2019-11-01 14:56:46-03,UnB,UB,151597,PreservedSpecimen,Plantae,Dicotyledoneae,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Bianchini, RS",2012,,,,"Richards, PW",6524,,1968,07,26,,Southern America,Brasil,Mato Grosso,São Félix,Fazenda Patizal.,-51.766667,-12.816667,-51.766667,-12.816667,,,,,,,,,,,,,Flowers pale blue,,,
2020-07-29 09:04:06-03,UnB,UB,,PreservedSpecimen,Plantae,Dicotyledoneae,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Moreira, ALC",2018,10,01,,"Sathler, DFT",IFN-10038913.1,,2018,07,24,,Southern America,Brasil,Mato Grosso,Novo Santo Antônio,,-50.76,-12.24,-50.76,-12.24,,,,,,,,,,,,,"Conglomerado MT_1003. Subunidade 3. Subparcela 1. Indivíduo H. F9; Herbácea; Campo com murundum, solo argiloso",,,
2019-11-01 14:56:46-03,UnB,UB,,PreservedSpecimen,Plantae,Dicotyledoneae,,,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Moreira, ALC",2018,02,,,"Faria, JEQ; Vasconcelos, TNC; Ribeiro, ARO",8487,,2018,02,25,,Southern America,Brasil,Goiás,Flores de Goiás,Margem da rodovia indo da BR-020 para Flores de Goiás,-46.967778,-14.743611,-46.967778,-14.743611,,,461,461,,,,,,,,,"Subarbusto ca. 0,4 m de altura, flores azúis; Campo cerrado úmido, alagadiço em período chuvoso",,,
2020-11-12 17:03:29-03,UEL,FUEL,15742,PreservedSpecimen,Plantae,Tracheophyta,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,"Simão-Bianchini, R",2012,07,23,,"Miranda, AM; Gomes, A; Oliveira, L; Lima, EV",2436,,1996,08,02,,,Brasil,Pernambuco,Ibimirim,,-37.690299987793,-8.54055976867676,0,0,45154,,0,0,,,,,,,,,,FUEL020463,,auto
2021-06-13 16:41:00-03,NY,NYBG,02447143,PreservedSpecimen,Plantae,Magnoliophyta,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,R. Simão-Bianchini,,,,,W. R. Anderson,7108,,1973,03,14,,South America,Brazil,Goiás,Silvânia,2-4 km by road N of Funil and the Rio Paraná,-48.4,-16.58959,,,,,600,600,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2259388' target='other'> <mi>dwc_moreinfo</mi></a>,NY02447143,NY02447143_01,
2021-06-13 16:41:00-03,NY,NYBG,1043512,PreservedSpecimen,Plantae,Magnoliophyta,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,,,,,isotype,Martii Herbar. Florae Brasil.,635,,,,,,South America,Brazil,,,"Cujaba, in humidis",-56.043867,-15.612755,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211278' target='other'> <mi>dwc_moreinfo</mi></a>,NY01043512,NY01043512_01,
2021-06-13 16:41:00-03,NY,NYBG,486270,PreservedSpecimen,Plantae,Magnoliophyta,,Solanales,Convolvulaceae,Evolvulus,ericifolius,,Evolvulus ericifolius,Mart. ex Schrank,J. I. de A. Falcao,,,,,G. G. Hatschbach,41268,,1978,04,21,,South America,Brazil,Minas Gerais,Grão Mogol,Rio Itacambiruçu,-42.8894,-16.5594,,,,,,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334494' target='other'> <mi>dwc_moreinfo</mi></a>,NY00486270,NY00486270_01,
